,sl_no,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical_cases,total_cases_per_1m_pop,total_deaths_per_1m_pop,total_tests,total_tests_per_1m_pop,population
218,211.0,British Virgin Islands,8,,1.0,,7.0,,0,,264.0,33.0,439.0,14514.0
219,212.0,St. Barth,7,,,,6.0,,1,,709.0,,1246.0,126126.0
220,213.0,Saint Pierre Miquelon,4,,,,1.0,,3,,691.0,,,
221,214.0,Anguilla,3,,,,3.0,,0,,200.0,,380.0,25311.0
222,215.0,China,84165,+105,4634.0,,78957.0,13.0,574,6.0,58.0,3.0,90410000.0,62814.0
223,,Total:,5359473,"+6,261",214740.0,531.0,2747302.0,5870.0,2397431,26093.0,,,,
224,,Total:,3952480,"+1,207",139781.0,88.0,2692664.0,535.0,1120035,14274.0,,,,
225,,Total:,4130442,"+3,348",94073.0,49.0,3002028.0,4192.0,1034341,19740.0,,,,
226,,Total:,2833461,+673,202526.0,3.0,1702083.0,15.0,928852,5119.0,,,,
227,,Total:,895157,,18908.0,,544168.0,,332081,1120.0,,,,
228,,Total:,18032,+717,213.0,13.0,12246.0,1000.0,5573,39.0,,,,
229,,Total:,721,,15.0,,651.0,,55,4.0,,,,
230,,Total:,17189766,"+12,206",670256.0,684.0,10701142.0,11612.0,5818368,66389.0,2205.3,86.0,,
